chunk_id,title,context,question,correct_answer,distractor_1,distractor_2,distractor_3,option_A,option_B,option_C,option_D,answer_key
chunk_00012,Chapter 10: Software Development Overview,"## Chapter 10  
Learning Objective 301 10.1 Software Development: Theory versus Practice 301 10.2 Iteration and Incrementation 302 10.3 The Unifi ed Process 306 10.4 Workfl ow Overview 307 10.5 Teams 307 10.6 Cost–Benefi t Analysis 308 10.7 Metrics 308 10.8 CASE 308 10.9 Versions and Confi gurations 309 10.10 Testing Terminology 309 10.11 Execution-Based and Non-Execution-Based Testing 309 10.12 Modularity 310 10.13 Reuse 310 10.14 Software Project Management Plan 310 Chapter Review 311 Key Term",What is a major aspect of the unified process?,Iteration and Incrementation,Iteration,Case,Review,Iteration and Incrementation,Review,Iteration,Case,A
chunk_00013,Chapter 11: Requirements Overview,"## Chapter 11 Requirements 313  
Learning Objectives 313 11.1 Determining What the Client Needs 313 11.2 Overview of the Requirements Workfl ow 314 11.3 Understanding the Domain 315 11.4 The Business Model 316 11.4.1 Interviewing 316 11.4.2 Other Techniques 317 11.4.3 Use Cases 318  
11.5 Initial Requirements 319 11.6 Initial Understanding of the Domain: The MSG Foundation Case Study 320 11.7 Initial Business Model: The MSG Foundation Case Study 322 11.8 Initial Requirements: The MSG Foundation ",What do you call the process of refining the initial requirements?,Continuing the Requirements Workfl ow,[N/A],[N/A],[N/A],[N/A],[N/A],[N/A],Continuing the Requirements Workfl ow,D
chunk_00014,Chapter 12: Classical Analysis Overview,"## Chapter 12 Chapter 12  
Classical Analysis 360 Learning Objectives 360 12.1 The Specifi cation Document 360 12.2 Informal Specifi cations 362 12.2.1 Correctness Proof Mini Case Study Redux 363 12.3 Structured Systems Analysis 364 12.3.1 Sally’s Software Shop Mini Case Study 364 12.4 Structured Systems Analysis: The MSG Foundation Case Study 372 12.5 Other Semiformal Techniques 373 12.6 Entity-Relationship Modeling 374  
12.7 Finite State Machines 376 12.7.1 Finite State Machines: The Elevator",What type of problem is the Elevator problem?,Finite State Machines,Petri Nets,Informal Specifi cations,Z,Finite State Machines,Petri Nets,Z,Informal Specifi cations,A
chunk_00015,Chapter 13 Object-Oriented Analysis Sections,Chapter 13 Object-Oriented Analysis 404 Learning Objectives 404 13.1 The Analysis Workfl ow 405 13.2 Extracting the Entity Classes 406 13.3 Object-Oriented Analysis: The Elevator Problem Case Study 407 13.4 Functional Modeling: The Elevator Problem Case Study 407 13.5 Entity Class Modeling: The Elevator Problem Case Study 410 13.5.1 Noun Extraction 411 13.5.2 CRC Cards 413 13.6 Dynamic Modeling: The Elevator Problem Case Study 414 13.7 The Test Workfl ow: Object-Oriented Analysis 417 13.8 Extrac,What is the Unified Process?,The Specification Document in the Unified Process,The Test Workflow in the Unified Process,The Object-Oriented Analysis in the Unified Process,The Workfl ow of Object-Oriented Analysis,The Test Workflow in the Unified Process,The Specification Document in the Unified Process,The Workfl ow of Object-Oriented Analysis,The Object-Oriented Analysis in the Unified Process,B
chunk_00016,"Chapters 13-15 Outline: Specification, Design, Implementation","13.18 The Specification Document in the Unified Process 456
13.19 More on Actors and Use Cases 457
13.20 CASE Tools for the Object-Oriented Analysis Workflow 458
13.21 Metrics for the Object-Oriented Analysis Workflow 459
13.22 Challenges of the Object-Oriented Analysis Workflow 459
Chapter Review 460
For Further Reading 461
Key Terms 462
Problems 462
References 463  
Chapter 14
Design 465  
Learning Objectives 465
Design and Abstraction 466
Operation-Oriented Design 466  
14.3 Data Flow Analysi",What is the name of the case study for the MSG Foundation?,The MSG Foundation Case Study,[N/A],[N/A],[N/A],[N/A],[N/A],[N/A],The MSG Foundation Case Study,D
chunk_00017,Table of Contents for Software Engineering Chapter 15,"15.2 Fourth-Generation Languages 501
15.3 Good Programming Practice 504
15.3.1 Use of Consistent and Meaningful Variable Names 504
15.3.2 The Issue of Self-Documenting Code 505
15.3.3 Use of Parameters 507
15.3.4 Code Layout for Increased Readability 507
15.3.5 Nested if Statements 507  
Coding Standards 509
Code Reuse 510
Integration 510  
Learning Objectives 465
Design and Abstraction 466
Operation-Oriented Design 466",What are some ways to increase readability?,"Use of Parameters, Code Layout for Increased Readability",[N/A],[N/A],[N/A],[N/A],[N/A],"Use of Parameters, Code Layout for Increased Readability",[N/A],C
chunk_00018,Chapter 15 Implementation and Testing Workflows,15.6.4 Integration of Object-Oriented Products 514 15.6.5 Management of Integration 515 15.7 The Implementation Workfl ow 516 15.8 The Implementation Workfl ow: The MSG Foundation Case Study 516 15.9 The Test Workfl ow: Implementation 516 15.10 Test Case Selection 517 15.10.1 Testing to Specifi cations versus Testing to Code 517 15.10.2 Feasibility of Testing to Specifi cations 517 15.10.3 Feasibility of Testing to Code 518 15.11 Black-Box Unit-Testing Techniques 520 15.11.1 Equivalence Testing ,What is the purpose of testing to specifications versus testing to code?,Equivalence Testing and Boundary Value Analysis,Feasibility of Testing to Code,Feasibility of Testing to specifications,Feasibility of Testing to specifications and Testing to code,Equivalence Testing and Boundary Value Analysis,Feasibility of Testing to specifications,Feasibility of Testing to specifications and Testing to code,Feasibility of Testing to Code,A
chunk_00019,Postdelivery Maintenance in Software Engineering,"## Chapter 16  
Postdelivery Maintenance 551 Learning Objectives 551 16.1 Development and Maintenance 551 16.2 Why Postdelivery Maintenance Is Necessary 553 16.3 What Is Required of Postdelivery Maintenance Programmers? 553 16.4 Postdelivery Maintenance Mini Case Study 555 16.5 Management of Postdelivery Maintenance 557 16.5.1 Defect Reports 557 16.5.2 Authorizing Changes to the Product 558 16.5.3 Ensuring Maintainability 559 16.5.4 Problem of Repeated Maintenance 559 16.6 Maintenance of Object-",What is required of postdelivery maintenance programmers?,What Is Required of Postdelivery Maintenance Programmers?,Why Postdelivery Maintenance Is Necessary,Development and Maintenance,What Is Required of Postdelivery Maintenance Programmers?,Why Postdelivery Maintenance Is Necessary,Development and Maintenance,What Is Required of Postdelivery Maintenance Programmers?,What Is Required of Postdelivery Maintenance Programmers?,C
chunk_00020,Chapters 17 and 18: UML and Emerging Technologies,"Key Terms 567 Problems 567 References 568  
Chapter 17 More on UML 571 Learning Objectives 571 17.1 UML Is Not a Methodology 571 17.2 Class Diagrams 572 17.2.1 Aggregation 573 17.2.2 Multiplicity 574 17.2.3 Composition 575 17.2.4 Generalization 576 17.2.5 Association 576 17.3 Notes 577 17.4 Use-Case Diagrams 577 17.5 Stereotypes 577 17.6 Interaction Diagrams 579 17.7 Statecharts 581 17.8 Activity Diagrams 583 17.9 Packages 585 17.10 Component Diagrams 586 17.11 Deployment Diagrams 586 17.12 Revi",What is the main idea of Chapter 18?,Emerging Technologies,[N/A],[N/A],[N/A],Emerging Technologies,[N/A],[N/A],[N/A],A
chunk_00021,Team-Based Software Development Projects and Curricula,Bibliography 601 Appendix A Term Project: Chocoholics Anonymous 627 Appendix B Software Engineering Resources 630 Appendix C Requirements Workflow: The MSG Foundation Case Study 632 Appendix D Structured Systems Analysis: The MSG Foundation Case Study 633 Appendix E Analysis Workflow: The MSG Foundation Case Study 636 Appendix F Software Project Management Plan: The MSG Foundation Case Study 637 Appendix G Design Workflow: The MSG Foundation Case Study 642 Appendix H Implementation Workflow: The,What is the ideal curriculum?,two-stage curriculum,[N/A],[N/A],[N/A],two-stage curriculum,[N/A],[N/A],[N/A],A
chunk_00022,Organization of the Eighth Edition,"## How the Eighth Edition Is Organized  
The book comprises two main parts: Part B teaches the students how to develop a software product; Part A provides the necessary theoretical background for Part B. The 18 chapters are organized as follows:  
<table><tr><td></td><td>Chapter 1</td><td>Introduction to software engineering</td></tr><tr><td>Part A</td><td>Chapters 2 through 9</td><td>Software engineering concepts</td></tr><tr><td>Part B</td><td>Chapters 10 through 17</td><td>Software engineerin",What are the two main parts of the Eighth Edition?,Part B teaches the students how to develop a software product; Part A provides the necessary theoretical background for Part B,Part B teaches the students how to develop a software product; Part A provides the necessary theoretical background for Part B and Chapter 10.,Part B teaches the students how to develop a software product; Part A provides the necessary theoretical background for Part B and Part A.,Part A provides the necessary theoretical background for Part B; Part B teaches the students how to develop a software product.,Part A provides the necessary theoretical background for Part B; Part B teaches the students how to develop a software product.,Part B teaches the students how to develop a software product; Part A provides the necessary theoretical background for Part B and Chapter 10.,Part B teaches the students how to develop a software product; Part A provides the necessary theoretical background for Part B and Part A.,Part B teaches the students how to develop a software product; Part A provides the necessary theoretical background for Part B,D
chunk_00023,Teaching Theory After Practice in Software Engineering Education,"This latter approach seems counterintuitive: Surely theory should always be taught before practice. In fact, curricular issues have forced many of the instructors who have used the seventh edition of this book to teach the material of Part B before Part A. Surprisingly, they have been most satisfi ed with the outcome. They report that their students have a greater appreciation of the theoretical material of Part A as a consequence of their project work. That is, team-based project work makes stu",What do the instructors who used the seventh edition of the book say about teaching the material of Part B before Part A?,they have been most satisfi ed with the outcome,[N/A],[N/A],[N/A],they have been most satisfi ed with the outcome,[N/A],[N/A],[N/A],A
chunk_00024,Two-Stage Curriculum Overview,"## 1. Two-Stage Curriculum  
<table><tr><td></td><td>Chapter 1 (Introduction to software engineering)</td></tr><tr><td>Part A</td><td>Chapters 2 through 9 (Software engineering concepts)</td></tr><tr><td rowspan=""3"">Part B</td><td>Chapters 11 through 17 (Software engineering techniques)</td></tr><tr><td>Chapter 18 (Emerging technologies)</td></tr><tr><td>The students then commence their team-based projects in the following semester or quarter.</td></tr></table>",What is the name of the first part of the two-stage curriculum?,Part A,Part B,Part C,Part D,Part D,Part A,Part B,Part C,B
chunk_00025,Parallel Curriculum Structure,"## 2. Parallel Curriculum  
<table><tr><td rowspan=""3""></td><td>Chapter 1 (Introduction to software engineering)</td></tr><tr><td>Chapter 10 (Key material from Part A)</td></tr><tr><td>The students now commence their team-based projects, in parallel with studying the material of Part B.</td></tr><tr><td>Part B</td><td>Chapters 11 through 17 (Software engineering techniques)</td></tr><tr><td rowspan=""2"">Part A</td><td>Chapters 2 through 9 (Software engineering concepts)</td></tr><tr><td>Chapter 1",What is the final part of the curriculum?,Part B,Part A,Part C,Part D,Part D,Part C,Part A,Part B,D
chunk_00026,New Features in Eighth Edition Software Engineering Textbook,"## New Features of the Eighth Edition  
• The book has been updated throughout.  
• I have added two new chapters. As previously explained, Chapter 10, a summary of key points of Part A, has been included so that this book can be used when students start their team-based term projects in parallel with their software engineering course. The other new chapter, Chapter 18, gives an overview of 10 emerging technologies, including  
• Aspect-oriented technology  
• Model-driven technology  
• Compone",What has been added to Chapter 8?,design patterns,software engineering,new mini case study,distributed architecture,distributed architecture,design patterns,software engineering,new mini case study,B
chunk_00027,Features Retained from the Seventh Edition,"## Features Retained from the Seventh Edition  
• The Unifi ed Process is still largely the methodology of choice for object-oriented software development. Throughout this book, the student is therefore exposed to both the theory and the practice of the Unifi ed Process.  
• In Chapter 1, the strengths of the object-oriented paradigm are analyzed in depth.  
• The iterative-and-incremental life-cycle model has been introduced as early as possible, namely, in Chapter 2. Furthermore, as with all p",How many life-cycle models are presented in the book?,"numerous other life-cycle models are presented, compared, and contrasted",[N/A],[N/A],[N/A],[N/A],[N/A],[N/A],"numerous other life-cycle models are presented, compared, and contrasted",D
chunk_00028,"Overview of Chapters, Case Studies, and UML in Software Engineering Text","• Chapter 11 (“Requirements”), Chapter 13 (“Object-Oriented Analysis”), and Chapter 14 (“Design”) are largely devoted to the workfl ows (activities) of the Unifi ed Process. For obvious reasons, Chapter 12 (“Classical Analysis”) is largely unchanged.  
• The material in Chapter 15 (“Implementation”) clearly distinguishes between implementation and integration.  
• The importance of postdelivery maintenance is stressed in Chapter 16.  
• Chapter 17 provides additional material on UML to prepare t",What topics are the mini case studies?,"stepwise refi nement, design patterns, and postdelivery maintenance",[N/A],[N/A],[N/A],[N/A],"stepwise refi nement, design patterns, and postdelivery maintenance",[N/A],[N/A],B
chunk_00029,Software Engineering Fundamentals and Object-Oriented Paradigm,"• In all the previous editions, I have stressed the importance of documentation, maintenance, reuse, portability, testing, and CASE tools. In this edition, all these concepts are stressed equally fi rmly. It is no use teaching students the latest ideas unless they appreciate the importance of the basics of software engineering.  
As in the seventh edition, particular attention is paid to object-oriented life-cycle models, object-oriented analysis, object-oriented design, management implications ",What is the primary focus of the book?,software process,object-oriented paradigm,object-oriented life-cycle models,documentation,object-oriented life-cycle models,object-oriented paradigm,software process,documentation,C
chunk_00030,Language Independence and Prerequisites in Software Engineering Textbook,"• The book is still language independent. The few code examples are presented in C++ and Java, and I have made every effort to smooth over language-dependent details and ensure that the code examples are equally clear to C++ and Java users. For example, instead of using cout for C++ output and System.out.println for Java output, I have utilized the pseudocode instruction print . (The one exception is the new case study, where complete implementation details are given in both C++ and Java, as bef",What language was used for the code examples in the book?,C++ and Java,C and Java,C# and C,Java and C,C++ and Java,C and Java,Java and C,C# and C,A
chunk_00031,Why Classical Paradigm Remains in Software Engineering Texts,"## Why the Classical Paradigm Is Still Included  
There is now almost unanimous agreement that the object-oriented paradigm is superior to the classical paradigm. Accordingly, many instructors who adopted the seventh edition of Object-Oriented and Classical Software Engineering chose to teach only the objectoriented material in that book. However, when asked, instructors indicated that they prefer to adopt a text that includes the classical paradigm.  
The reason is that, even though more and mo",Why is the classical paradigm still included in software engineering textbooks?,instructors still refer to the classical paradigm in class; many object-oriented techniques are hard for the student to understand unless that student has some idea of the classical techniques from which those object-oriented techniques are derived.,[N/A],[N/A],[N/A],[N/A],[N/A],instructors still refer to the classical paradigm in class; many object-oriented techniques are hard for the student to understand unless that student has some idea of the classical techniques from which those object-oriented techniques are derived.,[N/A],C
chunk_00033,Research Paper-Based Problems in Software Engineering Textbook,"Because this book has been written for use by graduate students as well as upper-class undergraduates, the fourth type of problem is based on research papers in the software engineering literature. In each chapter, an important paper has been chosen; wherever possible, a paper related to object-oriented software engineering has been selected. The student is asked to read the paper and answer a question relating to its contents. Of course, the instructor is free to assign any other research paper",What is an example of a question that could be asked in conjunction with a research paper?,Read the paper and answer a question relating to its contents.,Read the book and answer a question relating to its contents.,Read the book and answer a question relating to the paper.,Read the book and answer a question relating to the software engineering literature.,Read the book and answer a question relating to the software engineering literature.,Read the book and answer a question relating to its contents.,Read the paper and answer a question relating to its contents.,Read the book and answer a question relating to the paper.,C
chunk_00034,Case Study Modification Problems and Online Resources,"The fi fth type of problem relates to the case study. This type of problem was fi rst introduced in the third edition in response to a number of instructors who felt that their students learn more by modifying an existing product than by developing a new product from scratch. Many senior software engineers in the industry agree with that viewpoint. Accordingly, each chapter in which the case study is presented has problems that require the student to modify the case study in some way. For exampl",What was the fi fth type of problem?,case study,redesigning,modifying,the case study,redesigning,the case study,modifying,case study,D
chunk_00035,UML Construct Introduction Locations,"## Material on UML  
This book makes substantial use of UML (Unifi ed Modeling Language). If the students do not have previous knowledge of UML, this material may be taught in two ways. I prefer to teach UML on a just-in-time basis; that is, each UML concept is introduced just before it is needed. The following table describes where the UML constructs used in this book are introduced  
<table><tr><td>Construct</td><td>Section in Which the Corresponding UML Diagram Is Introduced</td></tr><tr><td>",What is one way of teaching UML?,just-in-time basis,[N/A],[N/A],[N/A],[N/A],just-in-time basis,[N/A],[N/A],B
chunk_00036,UML Diagram Constructs and Sections,"<table><tr><td>Construct</td><td>Section in Which the Corresponding UML Diagram Is Introduced</td></tr><tr><td>Class diagram, aggregation, multiplicity, composition, generalization, association</td><td>Section 17.2</td></tr><tr><td>Note</td><td>Section 17.3</td></tr><tr><td>Use-case diagram</td><td>Section 17.4</td></tr><tr><td>Stereotype</td><td>Section 17.5</td></tr><tr><td>Interaction diagram</td><td>Section 17.6</td></tr><tr><td>Statechart</td><td>Section 17.7</td></tr><tr><td>Activity diagr",What is the name of the website that accompanies the textbook?,www.mhhe.com/schach,[N/A],[N/A],[N/A],[N/A],www.mhhe.com/schach,[N/A],[N/A],B
chunk_00037,Electronic Textbook Options and Benefits,"## Electronic Textbook Options  
E-books are an innovative way for students to save money and create a greener environment at the same time. An e-book can save students about half the cost of a traditional textbook and offers unique features like a powerful search engine, highlighting, and the ability to share notes with classmates using e-books.  
McGraw-Hill offers this text as an e-book. To talk about the e-book options, contact your McGraw-Hill sales representative or visit the site www.cour",What is the e-book search engine useful for?,highlighting,reading,printing,writing,highlighting,reading,writing,printing,A
chunk_00038,Acknowledgments,"## Acknowledgments  
I greatly appreciate the constructive criticisms and many helpful suggestions of the reviewers of the seven previous editions. Special thanks go to the reviewers of this edition, including  
Ramzi Bualuan  
Mike McCracken  
University of Notre Dame  
Georgia Institute of Technology  
Ruth Dameron  
Nenad Medvidovic  
University of Colorado, Boulder  
University of Southern California  
Werner Krandick  
Saeed Monemi  
Drexel University  
California Polytechnic University, Po",What did the reviewers of the seventh edition of the book suggest to the author?,constructive criticisms and many helpful suggestions,[N/A],[N/A],[N/A],constructive criticisms and many helpful suggestions,[N/A],[N/A],[N/A],A
chunk_00039,Acknowledgments and Dedication,"Finally, as always, I thank my wife, Sharon, for her continual support and encouragement. As with all my previous books, I did my utmost to ensure that family commitments took precedence over writing. However, when deadlines loomed, this was not always possible. At such times, Sharon always understood, and for this I am most grateful.  
It is my privilege to dedicate my fi fteenth book to my grandchildren, Jackson and Mikaela, with love.  
Stephen R. Schach  
This page intentionally left blank",Who did Schach dedicate the book to?,"his grandchildren, Jackson and Mikaela",his colleagues,his readers,"his wife, Sharon",his colleagues,his readers,"his wife, Sharon","his grandchildren, Jackson and Mikaela",D
chunk_00040,Scope of Software Engineering,"# The Scope of Software Engineering  
Learning Objectives  
After studying this chapter, you should be able to  
• Defi ne what is meant by software engineering.  
• Describe the classical software engineering life-cycle model.  
• Explain why the object-oriented paradigm is now so widely accepted.  
• Discuss the implications of the various aspects of software engineering.  
• Distinguish between the classical and modern views of maintenance.  
• Discuss the importance of continual planning, te",What is the classical software engineering life-cycle model?,classical software engineering life-cycle model,software engineering life-cycle model,software engineering life-cycle,software life-cycle,classical software engineering life-cycle model,software engineering life-cycle model,software life-cycle,software engineering life-cycle,A
chunk_00041,Zero-Dollar Check Causes Computer System Issue,"The fi fth bill, marked 120 days, did not hint at anything—the message was rude and forthright, threatening all manner of legal actions if the bill was not immediately paid. Fearful of his organization’s credit rating in the hands of this maniacal machine, the executive called an acquaintance who was a software engineer and related the whole sorry story. Trying not to laugh, the software engineer told the executive to mail a check for $0.00. This had the desired effect, and a receipt for $0.00 w",What did the banker tell the executive about the check?,$0.00 was still owed,[N/A],[N/A],[N/A],[N/A],[N/A],[N/A],$0.00 was still owed,D
